country;year;life_ladder;log_gdp_per_capita;social_support;life_expec;freedom_to_make_life_choices;generosity;perceptions_of_corruption;positive_affect;negative_affect;confidence_in_national_government;democratic_quality;delivery_quality;standard_deviation_of_ladder_by_country_year;standard_deviation_mean_of_ladder_by_country_year;gini_index_world_bank_estimate;gini_index_world_bank_estimate_average_2000_15;gini_of_household_income_reported_in_gallup_by_wp5_year;continent;country_code;populacao_2020
Afghanistan;2017;2,66171813011169;7,46014356613159;0,490880072116852;52,3395271301270;0,427010864019394;-0,10634034872055054;0,954392552375793;0,496348559856415;0,371326178312302;0,261178523302078;NA;NA;1,45405077934265;0,546282768249512;NA;NA;0,286598861217499;Asia;4;38928,341
Albania;2017;4,63954830169678;9,37371826171875;0,637698292732239;69,0516586303711;0,749611020088196;-0,03514037653803825;0,876134634017944;0,669240891933441;0,333884119987488;0,457737535238266;NA;NA;2,68210482597351;0,578096091747284;NA;0,303250000000000;0,410487979650497;Europe;8;2877,800
Algeria;2017;5,24891233444214;9,54024410247803;0,806753873825073;65,6991882324219;0,436670482158661;-0,19467012584209442;0,699774205684662;0,641979634761810;0,288710027933121;NA;NA;NA;2,03976464271545;0,388607114553452;NA;0,276000000000000;0,527555763721466;Africa;12;43851,043
Argentina;2017;6,03933000564575;9,84351921081543;0,906699120998383;67,5387039184570;0,831966161727905;-0,18629990518093109;0,841052472591400;0,809422612190247;0,291717261075974;0,305430293083191;NA;NA;2,40932893753052;0,398939758539200;NA;0,476066666666667;0,394175797700882;Americas;32;45195,777
Armenia;2017;4,28773641586304;9,03471088409424;0,697924911975861;65,1256866455078;0,613697052001953;-0,13216617703437805;0,864683330059052;0,625013828277588;0,437148749828339;0,246900990605354;NA;NA;2,32537889480591;0,542332530021667;NA;0,325066666666667;0,478876590728760;Asia;51;2963,234
Australia;2017;7,25703763961792;10,71182727813721;0,949957847595215;72,7833404541016;0,910550177097321;0,30169326066970825;0,411346524953842;0,780078887939453;0,225360974669456;0,453406959772110;NA;NA;1,74569892883301;0,240552559494972;NA;0,342750000000000;0,428340911865234;Oceania;36;25499,881
Austria;2017;7,29372787475586;10,71622562408447;0,906217813491821;72,3597106933594;0,890030562877655;0,12499673664569855;0,518303811550140;0,747568726539612;0,180268719792366;0,435907930135727;NA;NA;1,56106197834015;0,214028000831604;NA;0,303818181818182;0,322941631078720;Europe;40;9006,400
Azerbaijan;2017;5,15227937698364;9,65392971038818;0,787039399147034;63,0753135681152;0,731030464172363;-0,24748066067695618;0,652539014816284;0,592359244823456;0,198318660259247;0,766583442687988;NA;NA;1,67375683784485;0,324857532978058;NA;0,228833333333333;0,313743263483047;Asia;31;10139,175
Bahrain;2017;6,22732067108154;10,68671321868896;0,875747144222260;66,1239929199219;0,905858516693115;0,12075917422771454;NA;0,813570559024811;0,289759516716003;NA;NA;NA;2,21552562713623;0,355775088071823;NA;NA;0,446609318256378;Asia;48;1701,583
Bangladesh;2017;4,30977106094360;8,16309261322021;0,712552785873413;62,5041542053223;0,896217167377472;0,01753619499504566;0,635014474391937;0,568827092647552;0,213505759835243;0,876646459102631;NA;NA;1,86536598205566;0,432822525501251;NA;0,329000000000000;0,532750129699707;Asia;50;164689,383
Belarus;2017;5,55291509628296;9,71982955932617;0,900255799293518;66,6059646606445;0,620979249477386;-0,13058209419250488;0,654113411903381;0,540905773639679;0,232768073678017;0,447916299104691;NA;NA;1,66256368160248;0,299403756856918;NA;0,281875000000000;0,283250212669373;Europe;112;9449,321
Belgium;2017;6,92834758758545;10,65765380859375;0,921639084815979;72,1429290771484;0,856801986694336;0,04548146948218346;0,543046057224274;0,786367595195770;0,233597695827484;0,449731916189194;NA;NA;1,51001322269440;0,217947095632553;NA;0,285181818181818;0,354373842477798;Europe;56;11589,616
Benin;2017;4,85318088531494;7,63250255584717;0,435878992080688;51,7947502136230;0,726808249950409;-0,04026943445205688;0,767234623432159;0,614722311496735;0,457920342683792;0,615089297294617;NA;NA;2,99812650680542;0,617765247821808;NA;0,432666666666667;0,577069699764252;Africa;204;12123,198
Bolivia;2017;5,65055274963379;8,83260822296143;0,778661787509918;60,3437957763672;0,883904933929443;-0,11598785221576691;0,819261968135834;0,698195397853851;0,433943539857864;0,427632957696915;NA;NA;2,25048422813416;0,398276835680008;NA;0,531642857142857;0,405886590480804;Americas;68;11673,029
Bosnia & Herzegovina;2017;5,08990240097046;9,37171268463135;0,775295257568359;67,9944839477539;0,563798666000366;0,08958946168422699;0,923343062400818;0,597341656684875;0,270745515823364;0,126379713416100;NA;NA;2,28100657463074;0,448143482208252;NA;0,327250000000000;0,486203879117966;Europe;70;3280,815
Botswana;2017;3,50488114356995;9,68365859985352;0,768258631229401;58,0132141113281;0,817308008670807;-0,25824928283691406;0,731441497802734;0,656396448612213;0,276252508163452;0,770821094512939;NA;NA;2,66942548751831;0,761630833148956;NA;0,626000000000000;0,637864351272583;Africa;72;2351,625
Brazil;2017;6,33292913436890;9,54769325256348;0,904694259166718;65,4537353515625;0,764792561531067;-0,18726469576358795;0,794457376003265;0,715945124626160;0,307716906070709;0,165490269660950;NA;NA;2,53050613403320;0,399579107761383;NA;0,550214285714286;0,392622560262680;Americas;76;212559,409
